sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2018-05-04;4152,170;4107,240;4150,060;;1;;0
2018-05-03;4172,790;4105,290;4106,930;;1;;0
2018-05-02;4197,940;4154,880;4159,440;;1;;0
2018-04-30;4165,280;4158,360;4163,330;;1;;0
2018-04-27;4169,480;4117,290;4162,170;;1;;0
2018-04-26;4133,050;4018,410;4125,490;;1;;0
2018-04-25;4075,520;4032,670;4069,120;;1;;0
2018-04-24;4105,980;4059,460;4075,900;;1;;0
2018-04-23;4103,840;4068,110;4103,840;;1;;0
2018-04-20;4115,990;4080,570;4088,890;;1;;0
2018-04-19;4105,760;4072,390;4102,030;;1;;0
2018-04-18;4076,760;4059,230;4070,800;;1;;0
2018-04-17;4063,380;4007,530;4059,230;;1;;0
2018-04-16;4027,540;3999,190;4009,050;;1;;0
2018-04-13;4050,800;4006,950;4021,680;;1;;0
2018-04-12;4005,040;3965,120;4002,590;;1;;0
2018-04-11;3996,910;3953,660;3961,770;;1;;0
2018-04-10;3998,060;3961,850;3994,630;;1;;0
2018-04-09;4011,340;3957,110;3968,140;;1;;0
2018-04-06;4013,150;3969,700;3977,920;;1;;0
